,cumulative_irrigation_cm,scheme,0.0,1.006508,1.560359,2.259632,3.132446,4.41834,4.484356,4.593474,5.985024,6.366768,7.814227,8.123454,8.23157,9.635004,10.8264,11.02783,11.13306,12.5,13.05403,13.76042,14.95821,15.26502,15.88365,16.71772,17.65322,18.31314,18.55249,19.74333,20.17479,20.38202,21.65326,22.26482,23.53152,23.83044,25.0
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_9_-_6_000_hours_Cross-Section_No_6_-_60cm.txt,19.1,3,0.09018895,0.09018897,0.09018897,0.09018897,0.09018896,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018894,0.09018894,0.09018893,0.09018893,0.09018895,0.09018894,0.09018895,0.09018896,0.09018896,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018896,0.09018896,0.09018896,0.09018895,0.09018895,0.09018894,0.09018894,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_18_-_12_000_hours_Cross-Section_No_6_-_60cm.txt,38.2,3,0.09018897,0.09018897,0.09018897,0.09018897,0.09018897,0.09018897,0.09018897,0.09018897,0.09018895,0.09018895,0.09018894,0.09018894,0.09018894,0.09018894,0.09018894,0.09018893,0.09018893,0.09018894,0.09018893,0.09018895,0.09018896,0.09018896,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018897,0.09018897,0.09018897,0.09018896,0.09018897,0.09018895,0.09018894,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_69_-_48_000_hours_Cross-Section_No_6_-_60cm.txt,152.79,3,0.1207546,0.1211823,0.1217175,0.1211088,0.121234,0.1197333,0.1197449,0.1197737,0.121058,0.1210362,0.1199111,0.1198856,0.1196625,0.1188184,0.1194069,0.119599,0.1197085,0.1215041,0.1217773,0.1222936,0.1200173,0.1196456,0.1188523,0.1184311,0.1185705,0.1192114,0.1192129,0.1179921,0.1178251,0.1176849,0.119019,0.1186891,0.1169404,0.1170562,0.1195841
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_371_-_384_000_hours_Cross-Section_No_6_-_60cm.txt,1680.68,3,0.2448215,0.2448188,0.2448197,0.2448175,0.244818,0.2448141,0.2448142,0.2448138,0.244813,0.2448121,0.2448078,0.2448079,0.2448075,0.244807,0.2448023,0.2448021,0.2448016,0.2448016,0.2447996,0.2447992,0.2447943,0.2447938,0.2447918,0.2447916,0.2447884,0.2447877,0.2447872,0.2447852,0.2447852,0.2447847,0.244785,0.2447842,0.2447829,0.2447828,0.2447842
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_4_-_6_0_hours_Cross-Section_No_6_-_60cm.txt,19.1,4,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018896,0.09018896,0.09018896,0.09018895,0.09018895,0.09018896,0.09018896,0.09018896,0.09018894,0.09018895,0.09018895,0.09018895,0.09018895,0.09018896,0.09018896,0.09018897,0.09018896,0.09018897,0.09018896,0.09018896,0.09018895,0.09018895,0.09018894,0.09018894,0.09018894,0.09018895,0.09018895,0.09018893,0.09018894,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_7_-_12_0_hours_Cross-Section_No_6_-_60cm.txt,38.2,4,0.09018894,0.09018895,0.09018895,0.09018895,0.09018894,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018896,0.09018896,0.09018896,0.09018894,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018895,0.09018896,0.09018896,0.09018897,0.09018896,0.09018896,0.09018895,0.09018895,0.09018894,0.09018894,0.09018894,0.09018895,0.09018895,0.09018893,0.09018894,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_22_-_48_0_hours_Cross-Section_No_6_-_60cm.txt,152.79,4,0.132725,0.1335216,0.1337709,0.1336752,0.1334849,0.1330196,0.132971,0.1330738,0.1337317,0.1337148,0.1331331,0.1328799,0.1327516,0.1315729,0.1327108,0.1327429,0.1328402,0.1334567,0.1337232,0.1338637,0.1329798,0.132658,0.1323279,0.131386,0.132296,0.1326061,0.1326146,0.1318861,0.1314903,0.131605,0.1320568,0.1320067,0.1309471,0.1309825,0.1322532
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
