,cumulative_irrigation_cm,scheme,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.000001,8.500001,9.000001,9.500001,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,20.99999,21.49999,21.99999,22.49999,22.99999,23.49999,23.99999,24.49999,24.99999
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_9_-_6_000_hours_Cross-Section_No_2_-_5_cm.txt,19.1,3,0.184678,0.1847334,0.1845231,0.18438,0.1842067,0.1839965,0.1837568,0.1834759,0.1831584,0.182798,0.1823835,0.1819263,0.1814105,0.1808353,0.1801945,0.1794876,0.1787036,0.1778297,0.1768535,0.1759556,0.1750224,0.17401,0.1750224,0.17401,0.1729217,0.1689902,0.1704685,0.1689902,0.1638204,0.1655379,0.1599512,0.1576689,0.1599512,0.1524042,0.1550062,0.1462958,0.1496125,0.1462958,0.1426289,0.1288678,0.1232069,0.1163017,0.1232069,0.1017214,0.09603563,0.09261693,0.09112442,0.09261693,0.09112442,0.09054045,0.0903124
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_18_-_12_000_hours_Cross-Section_No_2_-_5_cm.txt,38.2,3,0.1910511,0.1910996,0.1909166,0.1907918,0.19064,0.1904542,0.1902411,0.1899899,0.1897051,0.189381,0.1890082,0.1885999,0.1881989,0.1877958,0.1873596,0.1868884,0.1863857,0.1858438,0.1852659,0.1846545,0.1840099,0.1833229,0.1840099,0.1833229,0.1825974,0.180096,0.1810104,0.180096,0.17699,0.1781069,0.1749316,0.1738553,0.1749316,0.1715516,0.1727272,0.1690527,0.170343,0.1690527,0.1676917,0.1635635,0.162296,0.1610042,0.162296,0.1585661,0.1574568,0.1564945,0.1556736,0.1564945,0.1556736,0.1550657,0.1556113
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_69_-_48_000_hours_Cross-Section_No_2_-_5_cm.txt,152.79,3,0.2097626,0.209777,0.2097349,0.2097076,0.209676,0.2096383,0.2095975,0.2095496,0.2094977,0.2094395,0.209373,0.2093026,0.209226,0.2091417,0.2090537,0.2089599,0.2088648,0.2087637,0.20866,0.2085559,0.208452,0.2083463,0.208452,0.2083463,0.2082418,0.2079078,0.2080286,0.2079078,0.2075679,0.2076781,0.2073506,0.2072462,0.2073506,0.207046,0.2071428,0.206866,0.2069556,0.206866,0.2067779,0.2065524,0.206487,0.2064229,0.206487,0.2063231,0.2062856,0.2062575,0.2062356,0.2062575,0.2062356,0.2062222,0.2057074
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_371_-_384_000_hours_Cross-Section_No_2_-_5_cm.txt,1680.68,3,0.2335021,0.2335107,0.2334955,0.2334872,0.233479,0.2334698,0.2334618,0.2334518,0.2334419,0.2334304,0.2334155,0.2334006,0.2333836,0.2333633,0.2333427,0.2333199,0.2332984,0.233274,0.2332494,0.2332262,0.2332045,0.2331824,0.2332045,0.2331824,0.2331624,0.2330888,0.2331212,0.2330888,0.2330101,0.2330341,0.232962,0.2329396,0.232962,0.2328963,0.2329161,0.2328615,0.23288,0.2328615,0.2328414,0.232795,0.2327808,0.2327631,0.2327808,0.2327404,0.2327329,0.2327292,0.2327261,0.2327292,0.2327261,0.2327259,0.2318916
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_4_-_6_0_hours_Cross-Section_No_2_-_5_cm.txt,19.1,4,0.1578703,0.1579049,0.1577703,0.157678,0.1575655,0.1574275,0.1572685,0.1570812,0.1568678,0.1566242,0.1563428,0.1560301,0.1556751,0.1552766,0.154829,0.1543607,0.1539311,0.1534653,0.1529661,0.1524369,0.1518783,0.1512814,0.1518783,0.1512814,0.1506461,0.1484179,0.1492375,0.1484179,0.1455334,0.1465923,0.1432837,0.1421694,0.1432837,0.1396644,0.1409657,0.1366689,0.138259,0.1366689,0.1348431,0.1292589,0.1269761,0.1244194,0.1269761,0.11913,0.1159696,0.1130073,0.1097528,0.1130073,0.1097528,0.1069035,0.1056405
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_7_-_12_0_hours_Cross-Section_No_2_-_5_cm.txt,38.2,4,0.1674357,0.1674591,0.1673785,0.1673243,0.1672597,0.1671814,0.1670932,0.1669898,0.1668738,0.1667428,0.166592,0.1664279,0.1662443,0.1660416,0.1658198,0.1655795,0.165325,0.1651035,0.1648705,0.164629,0.1643808,0.164122,0.1643808,0.164122,0.1638582,0.1630106,0.1633133,0.1630106,0.1620999,0.1624059,0.1614835,0.1611758,0.1614835,0.1605617,0.1608665,0.1599755,0.160271,0.1599755,0.1596838,0.1588758,0.1586345,0.1583942,0.1586345,0.1580016,0.1578477,0.1577303,0.1576368,0.1577303,0.1576368,0.1575773,0.1578546
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_22_-_48_0_hours_Cross-Section_No_2_-_5_cm.txt,152.79,4,0.1978671,0.1978713,0.1978668,0.197865,0.197864,0.1978634,0.1978642,0.1978648,0.1978661,0.1978673,0.1978672,0.1978677,0.1978675,0.1978662,0.197865,0.1978632,0.1978627,0.1978609,0.1978594,0.1978592,0.1978603,0.1978614,0.1978603,0.1978614,0.197864,0.1978638,0.1978687,0.1978638,0.1978595,0.1978598,0.1978584,0.1978585,0.1978584,0.1978581,0.1978574,0.1978609,0.1978604,0.1978609,0.1978595,0.1978598,0.1978592,0.1978555,0.1978592,0.1978536,0.1978538,0.1978555,0.1978568,0.1978555,0.1978568,0.1978589,0.1973657
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
