,cumulative_irrigation_cm,scheme,0.0,1.072435,1.34055,2.450817,3.02774,3.205063,4.554471,5.44732,5.870827,6.354563,7.117511,7.733049,8.244356,9.532528,9.804532,10.39623,11.26905,11.80629,12.5,13.12224,13.96607,15.55549,15.62715,15.65822,15.71829,17.27864,18.28292,18.56758,18.86337,19.80064,20.79559,20.91391,21.95756,22.90886,23.47451,23.83693,25.0
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_9_-_6_000_hours_Cross-Section_No_5_-_30cm.txt,19.1,3,0.09265281,0.09186843,0.09158671,0.09033956,0.09038342,0.09037173,0.09063909,0.09031975,0.0909001,0.09022924,0.09043594,0.09033141,0.09056213,0.09050852,0.09028139,0.09016816,0.09015417,0.09017617,0.09008192,0.09017801,0.09015798,0.090183,0.09018587,0.09018577,0.0901858,0.09018876,0.09018891,0.09018886,0.09018893,0.09018894,0.09018896,0.09018896,0.09018895,0.09018895,0.09018896,0.09018897,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_18_-_12_000_hours_Cross-Section_No_5_-_30cm.txt,38.2,3,0.1130735,0.1118857,0.1117916,0.1100412,0.1100716,0.1095099,0.1082215,0.1069546,0.10744,0.1054766,0.1053475,0.1036585,0.104285,0.1026143,0.1019256,0.09965944,0.09957481,0.09763224,0.09832438,0.09538613,0.09541762,0.09183834,0.09178723,0.09163935,0.0914835,0.09121127,0.09060647,0.09062884,0.09029697,0.09042054,0.09022826,0.09022814,0.09021281,0.09020436,0.09020695,0.09018312,0.09018172
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_69_-_48_000_hours_Cross-Section_No_5_-_30cm.txt,152.79,3,0.2031226,0.2032297,0.2032232,0.2032903,0.2032408,0.2032279,0.2030022,0.2031125,0.2030375,0.2030601,0.2029205,0.2029765,0.202875,0.2028227,0.2027939,0.2028029,0.2026317,0.2026872,0.2025363,0.2025328,0.2023348,0.2024283,0.2024203,0.2024171,0.2024148,0.202051,0.202144,0.2020973,0.2021132,0.2019902,0.2019895,0.2019856,0.201903,0.2019987,0.2019397,0.20194,0.2018773
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_371_-_384_000_hours_Cross-Section_No_5_-_30cm.txt,1680.68,3,0.2444422,0.24446,0.2444565,0.2444699,0.2444532,0.2444556,0.2444045,0.244424,0.2444058,0.2444103,0.244371,0.2443891,0.2443648,0.2443498,0.2443424,0.244343,0.2442948,0.2443125,0.2442769,0.2442752,0.244237,0.2442499,0.2442478,0.244247,0.2442465,0.2441658,0.2441819,0.2441708,0.2441746,0.2441294,0.2441411,0.2441408,0.2441106,0.2441427,0.2441278,0.2441288,0.2441166
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_4_-_6_0_hours_Cross-Section_No_5_-_30cm.txt,19.1,4,0.09640518,0.09546442,0.09537184,0.09384853,0.09424783,0.09405865,0.09495181,0.09332649,0.09381472,0.09275199,0.09376223,0.09273766,0.09331261,0.09271073,0.09213462,0.09125977,0.09161556,0.09114258,0.09165307,0.09060526,0.09078604,0.09029263,0.09028766,0.09025419,0.09024309,0.09022608,0.0902071,0.09019904,0.09019369,0.09019125,0.09018921,0.0901892,0.09018925,0.09018913,0.09018962,0.09018901,0.09018904
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_7_-_12_0_hours_Cross-Section_No_5_-_30cm.txt,38.2,4,0.1210758,0.1207698,0.1207115,0.1202073,0.1198508,0.1195773,0.1176009,0.1174206,0.1173085,0.116301,0.1150407,0.1144882,0.1143102,0.1126626,0.1122037,0.1104624,0.1088918,0.1075363,0.1070821,0.104651,0.1028499,0.09858059,0.09845606,0.0983467,0.0981298,0.09604019,0.0934162,0.09310084,0.09210834,0.09247331,0.09090286,0.0908969,0.09083188,0.09061792,0.09076954,0.09050391,0.09053284
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_22_-_48_0_hours_Cross-Section_No_5_-_30cm.txt,152.79,4,0.1996399,0.1997086,0.1997065,0.199748,0.1996956,0.1997123,0.1995849,0.1997072,0.1996995,0.1997139,0.1996157,0.1997254,0.199714,0.1997459,0.1997449,0.1997615,0.1996471,0.1997602,0.1997395,0.1997325,0.1996403,0.1997979,0.1997997,0.1997996,0.1997982,0.1996143,0.1997327,0.1997319,0.1997383,0.1996313,0.1997093,0.1997116,0.1996468,0.1997812,0.1997861,0.1997901,0.1997552
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
